review_title,Customer name,rating,date,Category,comments,usefulness,processed_comment
Not worth the money paid. Worst camera & screen size,Sreenath Bettanna,1.0 out of 5 stars,on 17 September 2018,Camera,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,5 people found this helpful,camera worst considering price phone front camera worst ordinary mobiles processor much fast 2 ghz speed mobiles redmi notch namesake size sake big let bought phone considering notch option redmi disappointed redmi started thinking india dump yard redmi y2 better option
UNBOXING AND CAMERA SHOTS!,TECHBORED! Himanshu Chatra,5.0 out of 5 stars,on 22 September 2018,Display,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
1. Manuals with warranty information.
2. Charging cable.
3. 5V 2A power adapter.
4. Transparent TPU case.
5. Redmi 6 Pro.
----------
DESIGN
----------
1. The transparent case fits well and is a perfect fit. Gives nice feel in hands.
2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
3. It sports a FULL HD + display with that 19:9 aspect ratio.
4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port.
5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker.
6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro.
2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone.
2. Redmi 6 Pro is backed up with 4000mAh battery that is great.
3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10.
4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.", ,hey guys techbored unboxing also adding camera shots box 1 manuals warranty information 2 charging cable 3 5v 2a power adapter 4 transparent tpu case 5 redmi 6 pro design 1 transparent case fits well perfect fit gives nice feel hands 2 comes notch small really liked least xiaomi tried cut bezels budget segment 3 sports full hd display 19 9 aspect ratio 4 top phone infrared sensor secondary noise cancellation microphone wow 3 5mm headphone jack always happy see port 5 moving button micro usb port situated microphone speaker loud decent sounding speaker 6 redmi 6 pro body made metal plastic metal used top bottom sides plastic also sim tray made plastic buttons made metal thats nice gives nice feedback dual 4g standby dual sim dual 4g standby use sims 4g time good thing liked dedicated micro sd card slot face unlock also finger print sensor fast enough unlock also come face unlock pretty fast think much secure least unlocked pictures camera setup 1 best thing xiaomi put redmi 6 pro camera setup redmi note 5 pro 12mp 5mp dual camera setup aperture 2 2 single led flash middle tell detail camera performs included shots taken redmi 6 pro think nice decent almost redmi note 5 pro 2 camera setup record upto 1080p videos 30fps supports eis videos much shaky eis performs well front 5mp aperture 2 0 camera decent hardware 1 powered old snaprdragon 625 think think good budget smartphones performs well smartphone 2 redmi 6 pro backed 4000mah battery great 3 running android 8 1 oreo top custom miui 9 soon get stable update miui10 4 redmi 6 pro comes 3gb ram 32gb internal mermory 4gb ram 64 gb internal memory variants
Battery,Pardeep sharma,5.0 out of 5 stars,on 29 September 2018,Battery,NYC camera and battery backup, ,nyc camera battery backup
This Time Mi cheats..,aanik azad,1.0 out of 5 stars,on 25 September 2018,Camera,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs.., ,worst mobile big cost paid 11k rs many best mobiles present every company disappointing thing front camera today selfie days dirty disappointing front camra big loss rs
A compact power pack Device with great battery and a decent camera,kunal Sethi,5.0 out of 5 stars,on 20 September 2018,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",,device feels great hand compact enough feels bulky thanks notch display 19 9 aspect ratio directly coming pros cons 1 day use update soon pros 1 design compact design compared redmi note 5 pro 5 84 screen looks way compact compared 6 note 5 pro design 9 10 2 rear camera rear camera fair enough note 5 pro 20 19 captures detailed image good lights struggles bit low light rating 8 10 3 audio 9 10 4 looks like typical xiaomi device still ok unibody metal design 8 5 10 5 price price device fair aspects 10 10 cons con felt front camera camera would least 12 mp shooter deal would great must say greatest people confused realme 2 redmi 6 pro would suggest buy redmi 6 pro pls hit like u thought review helpful
Good Phone but price HIGHER,MALLA TULASI SANKAR GANESH,4.0 out of 5 stars,on 15 September 2018,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000",,pros good display better battey performance proper phone size fit wallet hand excellent build quality looks premium cons outdated snapdragon 625 processor rear camera average front camera average speaker sound low charger cable length shortened recommend buy price 10000
Best phone forever.,Manish Singh,5.0 out of 5 stars,on 18 September 2018,Others,Best phone with face unlock full hd video recording and all latest features.,,best phone face unlock full hd video recording latest features
"Not impressive, Y2 is better",Mudasar Nazar,2.0 out of 5 stars,on 18 September 2018,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.",,overall phone seems good performance perspective range category buy looking wider screen thinner phone felt y2 would better choice range already brought one family satisfied looks screen size fatty phone
"Very Terrible, Worst Smartphone.",Aniket Sidanale,1.0 out of 5 stars,on 19 September 2018,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",,looks poor bad performance camera quality totally worst please everybody buy redmi 6 pro go realme 2 wasted money
Don't buy this mobile mi 6 pro,Vasudevan,1.0 out of 5 stars,on 15 September 2018,Display,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",,poor quality front facing camera sound quality poor full display working apps video clear videosnot good zoom photos clear picture rs 10999 worth mobile waste many return option available phone return phone please amazon
Good phone,Vaibhav Agarwal,5.0 out of 5 stars,on 17 September 2018,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,,loved fact lenovo gave nice transparent back cover happy phone cover quality
Disappointed.,Dinesh Kumar P,1.0 out of 5 stars,on 18 September 2018,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",,worst go performance wise camera wise battery wise waste please go good brand second time replacement also front camera portrait issue totally waste audio quality low audible
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0 out of 5 stars,on 22 September 2018,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",,please buy product 3 mobile mi face type issue mobile data getting automatically things happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset
average phone,sarfaraz alam,3.0 out of 5 stars,on 25 September 2018,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.",,using two weeks analyse average phone price catagory price 10 000 phone analyse pros cons phone countinious using phone pros 1 screen resolution preety good 1080 x 2280 pixels colours contrast also impressive 2 two days battery backup playing heavy games like pubg 3 snapdragon 625 old till performance awsm face lag games low graphic setting 4 camera pictures quality good also portrait mode captures good depth effect photos day light condition night face high noice pictures 5 front facing camera also ai depth effect much good take good selfy day light condition 6 process optimization phone good 7 little notch increase looks design phone cons 1 one thing hate phone notifaction bar get notification top bar every time need scroll ntification bar see app notifications net speed meter also shown whatsapp icon notification top bar notch screen mi company needs fix minaor issues new updatess 2 downloading process background little bit slow phone compare redmi phones 3 video recording quality phone good 4 5mp front facing camera quality average price segment many phones avilabe better front cameras
A compact power pack Device with great battery and a decent camera,kunal Sethi,5.0 out of 5 stars,on 20 September 2018,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",2 people found this helpful,device feels great hand compact enough feels bulky thanks notch display 19 9 aspect ratio directly coming pros cons 1 day use update soon pros 1 design compact design compared redmi note 5 pro 5 84 screen looks way compact compared 6 note 5 pro design 9 10 2 rear camera rear camera fair enough note 5 pro 20 19 captures detailed image good lights struggles bit low light rating 8 10 3 audio 9 10 4 looks like typical xiaomi device still ok unibody metal design 8 5 10 5 price price device fair aspects 10 10 cons con felt front camera camera would least 12 mp shooter deal would great must say greatest people confused realme 2 redmi 6 pro would suggest buy redmi 6 pro pls hit like u thought review helpful
Good Phone but price HIGHER,MALLA TULASI SANKAR GANESH,4.0 out of 5 stars,on 15 September 2018,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000", ,pros good display better battey performance proper phone size fit wallet hand excellent build quality looks premium cons outdated snapdragon 625 processor rear camera average front camera average speaker sound low charger cable length shortened recommend buy price 10000
Best phone forever.,Manish Singh,5.0 out of 5 stars,on 18 September 2018,Others,Best phone with face unlock full hd video recording and all latest features.,20 people found this helpful,best phone face unlock full hd video recording latest features
"Not impressive, Y2 is better",Mudasar Nazar,2.0 out of 5 stars,on 18 September 2018,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.", ,overall phone seems good performance perspective range category buy looking wider screen thinner phone felt y2 would better choice range already brought one family satisfied looks screen size fatty phone
"Very Terrible, Worst Smartphone.",Aniket Sidanale,1.0 out of 5 stars,on 19 September 2018,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.", ,looks poor bad performance camera quality totally worst please everybody buy redmi 6 pro go realme 2 wasted money
Don't buy this mobile mi 6 pro,Vasudevan,1.0 out of 5 stars,on 15 September 2018,Display,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon", ,poor quality front facing camera sound quality poor full display working apps video clear videosnot good zoom photos clear picture rs 10999 worth mobile waste many return option available phone return phone please amazon
Good phone,Vaibhav Agarwal,5.0 out of 5 stars,on 17 September 2018,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,3 people found this helpful,loved fact lenovo gave nice transparent back cover happy phone cover quality
Disappointed.,Dinesh Kumar P,1.0 out of 5 stars,on 18 September 2018,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.", ,worst go performance wise camera wise battery wise waste please go good brand second time replacement also front camera portrait issue totally waste audio quality low audible
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0 out of 5 stars,on 22 September 2018,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.", ,please buy product 3 mobile mi face type issue mobile data getting automatically things happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset
average phone,sarfaraz alam,3.0 out of 5 stars,on 25 September 2018,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.", ,using two weeks analyse average phone price catagory price 10 000 phone analyse pros cons phone countinious using phone pros 1 screen resolution preety good 1080 x 2280 pixels colours contrast also impressive 2 two days battery backup playing heavy games like pubg 3 snapdragon 625 old till performance awsm face lag games low graphic setting 4 camera pictures quality good also portrait mode captures good depth effect photos day light condition night face high noice pictures 5 front facing camera also ai depth effect much good take good selfy day light condition 6 process optimization phone good 7 little notch increase looks design phone cons 1 one thing hate phone notifaction bar get notification top bar every time need scroll ntification bar see app notifications net speed meter also shown whatsapp icon notification top bar notch screen mi company needs fix minaor issues new updatess 2 downloading process background little bit slow phone compare redmi phones 3 video recording quality phone good 4 5mp front facing camera quality average price segment many phones avilabe better front cameras
"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",Subbhajit jana,1.0 out of 5 stars,on 19 September 2018,Display,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000-9500.Damaged charger given Amazon is cheating people",,bad experience ever battery show low quality flash light sound low nnot metal body cheaper metal used display quality excellent price 9000 9500 damaged charger given amazon cheating people
"Redmi 6 pro looking good, better performance.",Sanu,5.0 out of 5 stars,on 25 September 2018,Others,Good,,good
I love mi 6 pro,Anuj kr gupta,5.0 out of 5 stars,on 18 September 2018,Battery,"Osm product
Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly
This phone is very good and it's battery backup is amazing I love it very much
And it's camera is very good quality",,osm product amazon better flipkart never buy 1st sale mi phones flipkart amazon order 2 phones 1st sale quickly phone good battery backup amazing love much camera good quality
Always Mi Best in Mobile ??,Manish Bavaliya ,5.0 out of 5 stars,on 15 September 2018,Battery,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.",,nice looking slim light weight sound quality battery back factors nice mi 6 pro nice mobile satisfied prize quality expected purchasing
I am satisfying this phone,Jit saha,5.0 out of 5 stars,on 28 September 2018,Others,Bettary so good,,bettary good
excellent this redmi 6 Pro,Dalowar,5.0 out of 5 stars,on 20 September 2018,Others,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,,excellent redmi 6 pro nice product redmi product thank xiaomi
It Hangs,Ranjeet,1.0 out of 5 stars,on 1 October 2018,Others,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.",,using 10 days writing phone well mi a2 hangs please purchase
Value for money...,Amazon Customer,5.0 out of 5 stars,on 17 September 2018,Camera,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..",,working good snapdragon 625 best part camera also good price range camera clarity good go
Rock u,KALINDI DEVI,5.0 out of 5 stars,on 15 September 2018,Others,"Really nice one
Thankd",,really nice one thankd
Good for sharp use,Shankar,4.0 out of 5 stars,on 28 September 2018,Others,Dislike snapdragon 425,,dislike snapdragon 425
turn out amazing to be amazing worth it,Pranay chaudhari,5.0 out of 5 stars,on 26 September 2018,Camera,"the camera is good, phone is fast overall work well in all department",2 people found this helpful,camera good phone fast overall work well department
Don't buy camera quality extreme poor.,shivam p.,1.0 out of 5 stars,on 20 September 2018,Camera,"I got this product today camera both front and back are not upto mark.
Pixels are scattered. Please don't buy this phone just because u r getting it for 11k.", ,got product today camera front back upto mark pixels scattered please buy phone u r getting 11k
Overall Nice,Protap G.,4.0 out of 5 stars,on 20 September 2018,Camera,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It contains Ir blaster,there are no other phones provides that.",One person found this helpful,overall really good fingerprint face unlock really fast lag problems working gaming back camera awesome selfie lover go contains ir blaster phones provides
Satisfied,Kamlesh Bajpai,4.0 out of 5 stars,on 15 September 2018,Display,Very good phone at this price. Display quality perfect, ,good phone price display quality perfect
Dual 4G support,Manoj Kumar,1.0 out of 5 stars,on 28 September 2018,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem., ,purchsed item two jio sim working togeher specification given supports dual 4g sim please dove problem
Very good,Amazon Customer,4.0 out of 5 stars,on 25 September 2018,Others,Good purchase nice phone with good features like 3 slots and face lock,3 people found this helpful,good purchase nice phone good features like 3 slots face lock
Not good as expected,Bidyut Majumder,1.0 out of 5 stars,on 20 September 2018,Others,Do not buy., ,buy
Heating issues and battery is not upto the mark.,anoop vp,1.0 out of 5 stars,on 24 September 2018,Others,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also., ,phone heating issue amazon return policy bad check phone blancco app app designed say phone perfect always go realme 2 much better phone u save 2000 rupees also
Wonder full mobile,SILAMBARASAN J,5.0 out of 5 stars,on 17 September 2018,Display,"Amazing phone like a iphone
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for money", ,amazing phone like iphone nice built quality super camera super display better battery using single hands happy value money
Value for money,Amazon Customer,5.0 out of 5 stars,on 15 September 2018,Others,Best value for money, ,best value money
Batytery is not good mentioned 4000mah but not good,Amazon Customer,1.0 out of 5 stars,on 25 September 2018,Battery,Please dont't bye camera is good but battery back up not good,,please dont bye camera good battery back good
19:9 display awesome,Surendra namdev,5.0 out of 5 stars,on 19 September 2018,Battery,i love it awesome phone 11k camera battery super b,,love awesome phone 11k camera battery super b
Nice mobile,Kuldeep Singh,4.0 out of 5 stars,on 24 September 2018,Display,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cons : Camera is good but nothing special having dual camera setup.",,good mobile price pros good display fast processing large battery cons camera good nothing special dual camera setup
Dont Buy,Sameet S.,1.0 out of 5 stars,on 19 September 2018,Battery,"Charging issue
Lagging issue
hanging issue
multiple issue.",,charging issue lagging issue hanging issue multiple issue
Nice mobile,Aniket,3.0 out of 5 stars,on 21 September 2018,Camera,"Nice product
Front or rear camera thoda accha hona chahiye tha",,nice product front rear camera thoda accha hona chahiye tha
"Cemera quality,face unlock most important in this phone",Rahul,5.0 out of 5 stars,on 19 September 2018,Others,"I like This Phone, Awesome look and design.
I'm using this phone",,like phone awesome look design using phone
Mi is best phone,Sunil Soni,4.0 out of 5 stars,on 18 September 2018,Others,Product is avasome but invoice is note include......,,product avasome invoice note include
Its a OK Phone,D.C.Padhi,3.0 out of 5 stars,on 15 September 2018,Battery,"Redmi Note4, Note5, now 6pro..It seems the older the model the better was the performance as I used all 3 models in the line. The notch design, hides the battery % and network speed, one has to pull down a bit to see these 2 things. Note 5 and 6pro both have a common issue-- after switching the swipe up (to unlock) does not work smoothly every time. The escape is to switch off the swipe up feature. After Note4, in the newer models the length of USB cable has become shorter, whichis a problem if you are little away from the plug point. How much cost does Xiaomi saves by shortening the cable? 6pro came with a smaller ejection tool, additional cost saving by cutting 2gm of metal. The front flash if Note5 has been removed in 6pro. These manufacturers seem to be idiots and fooling public by launching new models without any real additional feature or improvement. Anyway, its an OK phone for 10,000 (3GB/32GB). For 11,000 a customer expects a little more, and Xiaomi disappoints here.",,redmi note4 note5 6pro seems older model better performance used 3 models line notch design hides battery network speed one pull bit see 2 things note 5 6pro common issue switching swipe unlock work smoothly every time escape switch swipe feature note4 newer models length usb cable become shorter whichis problem little away plug point much cost xiaomi saves shortening cable 6pro came smaller ejection tool additional cost saving cutting 2gm metal front flash note5 removed 6pro manufacturers seem idiots fooling public launching new models without real additional feature improvement anyway ok phone 10 000 3gb 32gb 11 000 customer expects little xiaomi disappoints
Redmi,Mahesh,5.0 out of 5 stars,on 21 September 2018,Others,I love mi,,love mi
Not worth for the price.,Vinod,1.0 out of 5 stars,on 17 September 2018,Camera,"Same old configurations with higher price.
Not worth for money.
Camera quality is not up to mark.
Notch - I personally feel this as a feature which is not useful for this size (5.84) of phone. Infact that makes phone looks smaller than 5.84 as notch is also included in size.

There are better options available in same price range.",,old configurations higher price worth money camera quality mark notch personally feel feature useful size 5 84 phone infact makes phone looks smaller 5 84 notch also included size better options available price range
